"Name","has.star","Title.type","Genre","Run.time","Top.cast","MOVIEmeter","IMDb.Rating","Production.Co.","Year","numvotes","Country","Language","Rating","Genres"
"24 Hour Party People",0,"Movie","Biography, Comedy, Drama",117,"Steve Coogan, John Thomson, Paul Popplewell",7083,7.3,"Revolution Films",2002,89439,"UK","English",2,"Drama"
"8½",1,"Movie","Drama",138,"Marcello Mastroianni, Claudia Cardinale, Anouk Aimée",4849,8,"Cineriz",1963,9362,"IT","Italian",3,"Drama"
"A Field in England",0,"Movie","Drama, History, Horror",90,"Julian Barratt, Peter Ferdinando, Richard Glover",13015,6.3,"Film4",2013,93964,"UK","English",3,"Horror/Thriller"
"A Fistful of Dollars",0,"Movie","Action, Drama, Western",99,"Marianne Koch, Gian Maria Volontè, Wolfgang Lukschy",2853,8,"Jolly Film",1964,150472,"IT","English",4,"Action"
"A Room for Romeo Brass",0,"Movie","Comedy, Drama",90,"Martin Arrowsmith, Dave Blant, Darren Campbell",14911,7.6,"Alliance Atlantis Communications",1999,228994,"UK","English",2,"Drama"
"A Tale of Winter",0,"Movie","Drama",114,"Charlotte Véry, Frédéric van den Driessche, Michel Voletti",22367,7.3,"Compagnie Eric Rohmer (CER)",1992,24216,"FR","French",3,"Romance"
"After Hours",1,"Movie","Comedy, Crime, Drama",97,"Rosanna Arquette, Verna Bloom, Tommy Chong",3324,7.7,"The Geffen Company",1985,24071,"US","English",2,"Drama"
"Akira",0,"Movie","Animation, Action, Sci-Fi",124,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama",3368,8,"Akira Committee Company Ltd.",1988,476,"JA","English",2,"Action"
"Amateur",0,"Movie","Comedy, Crime, Drama",105,"Isabelle Huppert, Martin Donovan, Elina Löwensohn",26161,6.9,"American Playhouse",1994,7831,"US","English",1,"Drama"
"American Cousins",0,"Movie","Crime, Drama",115,"Danny Nucci, Shirley Henderson, Gerald Lepkowski",161872,6.2,"Bard Entertainments",2003,128288,"UK","English",2,"Light"
"American Gigolo",1,"Movie","Crime, Drama, Mystery",117,"Richard Gere, Lauren Hutton, Hector Elizondo",7694,6.3,"Paramount Pictures",1980,2147,"US","English",4,"Horror/Thriller"
"An American in Paris",0,"Movie","Drama, Musical, Romance",114,"Leslie Caron, Oscar Levant, Georges Guétary",9682,7.2,"Metro-Goldwyn-Mayer (MGM)",1951,12386,"US","English",3,"Light  Romance"
"Angel Face",1,"Movie","Crime, Drama, Film-Noir",91,"Robert Mitchum, Jean Simmons, Mona Freeman",28272,7.3,"RKO Radio Pictures",1953,5201,"US","English",2,"Horror/Thriller"
"Angel Heart",1,"Movie","Horror, Mystery, Thriller",113,"Mickey Rourke, Robert De Niro, Lisa Bonet",4217,7.3,"Carolco International N.V.",1987,167229,"US","English",3,"Horror/Thriller"
"Annie Hall",1,"Movie","Comedy, Romance",93,"Diane Keaton, Tony Roberts, Carol Kane",3738,8,"Jack Rollins & Charles H. Joffe Productions",1977,12527,"US","English",4,"Romance"
